Alabama,Republican
Alaska,Republican
Arizona,Democrat
Arkansas,Republican
California,Democrat
Colorado,Democrat
Connecticut,Democrat
Delaware,Democrat
District of Columbia,Democrat
Florida,Republican
Georgia,Republican
Hawaii,Democrat
Idaho,Republican
Illinois,Democrat
Indiana,Republican
Iowa,Republican
Kansas,Democrat
Kentucky,Democrat
Louisiana,Democrat
Maine,Democrat
Maryland,Democrat
Massachusetts,Democrat
Michigan,Democrat
Minnesota,Democrat
Mississippi,Republican
Missouri,Republican
Montana,Republican
Nebraska,Republican
Nevada,Republican
New Hampshire,Republican
New Jersey,Democrat
New Mexico,Democrat
New York,Democrat
North Carolina,Democrat
North Dakota,Republican
Ohio,Republican
Oklahoma,Republican
Oregon,Democrat
Pennsylvania,Democrat
Rhode Island,Democrat
South Carolina,Republican
South Dakota,Republican
Tennessee,Republican
Texas,Republican
Utah,Republican
Vermont,Republican
Virginia,Republican
Washington,Democrat
West Virginia,Republican
Wisconsin,Democrat
Wyoming,Republican
